IndividualName,FieldID1,FieldID2,DateSampled,IndividualSampleLOCATION,Stream,RiverLocation,Run,Gender,Forklength(mm),LengthFork1,WILDorHAT?,Marks
OtsAC23COQR_0261,261,44HB-M261,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_0262,262,44HB-F262,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,F,715,71.5,H,Y
OtsAC23COQR_0263,263,44HB-F263,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,F,720,72,H,Y
OtsAC23COQR_0264,264,44HB-F264,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,F,730,73,H,Y
OtsAC23COQR_0265,265,44HB-F265,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,F,680,68,H,Y
OtsAC23COQR_0266,266,44HB-F266,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,F,700,70,H,Y
OtsAC23COQR_0267,267,44HB-F267,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,F,770,77,H,Y
OtsAC23COQR_0268,268,44HB-F268,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,F,745,74.5,H,Y
OtsAC23COQR_0269,269,44HB-F269,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,F,720,72,H,Y
OtsAC23COQR_0270,270,44HB-F270,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,F,760,76,H,Y
OtsAC23COQR_0271,271,44HB-F271,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,F,750,75,H,Y
OtsAC23COQR_0272,272,44HB-F272,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,F,755,75.5,H,Y
OtsAC23COQR_0273,273,44HB-F273,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,F,690,69,H,Y
OtsAC23COQR_0274,274,44HB-F274,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,F,800,80,H,Y
OtsAC23COQR_0275,275,44HB-M275,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_0276,276,44HB-M276,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_0277,277,44HB-M277,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_0278,278,44HB-M278,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_0279,279,44HB-M279,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_0280,280,44HB-M280,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_0296,296,44HB-M296,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_0297,297,44HB-M297,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_0298,298,44HB-M298,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_0281,281,44HB-M281,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_0282,282,44HB-M282,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_0283,283,44WB-M283,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,W,N
OtsAC23COQR_0284,284,44WB-M284,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,W,N
OtsAC23COQR_0285,285,44WB-F285,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,F,810,81,W,N
OtsAC23COQR_0286,286,44HB-M?286,11/7/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,UK,NA
OtsAC23COQR_1201,201,44HB-F0201,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,890,89,H,Y
OtsAC23COQR_1202,202,44HB-F0202,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,810,81,H,Y
OtsAC23COQR_1203,203,44HB-F0203,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,880,88,H,Y
OtsAC23COQR_1204,204,44HB-F0204,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,840,84,H,Y
OtsAC23COQR_1205,205,44HB-F0205,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,750,75,H,Y
OtsAC23COQR_1206,206,44HB-F0206,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,750,75,H,Y
OtsAC23COQR_1207,207,44HB-F0207,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,800,80,H,Y
OtsAC23COQR_1208,208,44HB-F0208,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,820,82,H,Y
OtsAC23COQR_1209,209,44HB-F0209,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,760,76,H,Y
OtsAC23COQR_1210,210,44HB-F0210,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,840,84,H,Y
OtsAC23COQR_1211,211,44HB-F0211,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,760,76,H,Y
OtsAC23COQR_1212,212,44HB-F0212,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,800,80,H,Y
OtsAC23COQR_1213,213,44HB-M0213,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_1214,214,44HB-M0214,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_1215,215,44HB-M0215,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_1216,216,44HB-M0216,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_1217,217,44HB-M0217,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_1218,218,44HB-F218,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,870,87,H,Y
OtsAC23COQR_1219,219,44HB-F219,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,775,77.5,H,Y
OtsAC23COQR_1220,220,44HB-F220,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,760,76,H,Y
OtsAC23COQR_1221,221,44HB-F221,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,830,83,H,Y
OtsAC23COQR_1222,222,44HB-F222,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,805,80.5,H,Y
OtsAC23COQR_1223,223,44HB-F223,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,815,81.5,H,Y
OtsAC23COQR_1224,224,44HB-F224,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,790,79,H,Y
OtsAC23COQR_1225,225,44HB-F225,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,870,87,H,Y
OtsAC23COQR_1226,226,44HB-F226,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,830,83,H,Y
OtsAC23COQR_1227,227,44HB-F227,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,790,79,H,Y
OtsAC23COQR_1228,228,44HB-F228,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,840,84,H,Y
OtsAC23COQR_1229,229,44HB-F229,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,900,90,H,Y
OtsAC23COQR_1230,230,44HB-M230,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_1231,231,44HB-F231,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,780,78,H,Y
OtsAC23COQR_1232,232,44HB-F232,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,820,82,H,Y
OtsAC23COQR_1233,233,44HB-F233,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,870,87,H,Y
OtsAC23COQR_1234,234,44HB-F234,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,860,86,H,Y
OtsAC23COQR_1235,235,44HB-F235,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,750,75,H,Y
OtsAC23COQR_1236,236,44HB-F236,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,780,78,H,Y
OtsAC23COQR_1237,237,44HB-F237,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,750,75,H,Y
OtsAC23COQR_1238,238,44HB-F238,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,780,78,H,Y
OtsAC23COQR_1239,239,44HB-F239,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,740,74,H,Y
OtsAC23COQR_1240,240,44HB-F240,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,740,74,H,Y
OtsAC23COQR_1241,241,44HB-F241,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,790,79,H,Y
OtsAC23COQR_1242,242,44HB-F242,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,730,73,H,Y
OtsAC23COQR_1243,243,44HB-M243,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_1244,244,44HB-M244,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_1245,245,44HB-F245,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,730,73,H,Y
OtsAC23COQR_1246,246,44HB-F246,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,780,78,H,Y
OtsAC23COQR_1247,247,44HB-F247,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,700,70,H,Y
OtsAC23COQR_1248,248,44HB-F248,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,750,75,H,Y
OtsAC23COQR_1249,249,44HB-F249,11/20/2023,BandonHatchery,CoquilleRiver,,Fall,F,760,76,H,Y
OtsAC23COQR_1250,250,44HB-F250,11/21/2023,BandonHatchery,CoquilleRiver,,Fall,F,750,75,H,Y
OtsAC23COQR_1251,251,44HB-M251,11/22/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_1252,252,44HB-M252,11/23/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_1253,253,44HB-F253,11/27/2023,BandonHatchery,CoquilleRiver,,Fall,F,730,73,H,Y
OtsAC23COQR_1254,254,44HB-F254,11/27/2023,BandonHatchery,CoquilleRiver,,Fall,F,710,71,H,Y
OtsAC23COQR_1255,255,44HB-F255,11/27/2023,BandonHatchery,CoquilleRiver,,Fall,F,800,80,H,Y
OtsAC23COQR_1256,256,44HB-F256,11/27/2023,BandonHatchery,CoquilleRiver,,Fall,F,760,76,H,Y
OtsAC23COQR_1257,257,44HB-F257,11/27/2023,BandonHatchery,CoquilleRiver,,Fall,F,790,79,H,Y
OtsAC23COQR_1258,258,44HB-F258,11/27/2023,BandonHatchery,CoquilleRiver,,Fall,F,740,74,H,Y
OtsAC23COQR_1259,259,44HB-F259,11/27/2023,BandonHatchery,CoquilleRiver,,Fall,F,810,81,H,Y
OtsAC23COQR_1260,260,44HB-F260,11/27/2023,BandonHatchery,CoquilleRiver,,Fall,F,790,79,H,Y
OtsAC23COQR_1261,261,44HB-F261,12/5/2023,BandonHatchery,CoquilleRiver,,Fall,F,800,80,H,Y
OtsAC23COQR_1262,262,44HB-F262,12/5/2023,BandonHatchery,CoquilleRiver,,Fall,F,670,67,H,Y
OtsAC23COQR_1263,263,44HB-M263,12/5/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
OtsAC23COQR_1264,264,44HB-M264,12/5/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,NA,H,Y
